"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2608","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2604","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2775","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15020","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15215","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15807","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","16361","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17160","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17509","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","18032","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","18640","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","20200","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","13586","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","13981","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","14364","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","14891","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","15471","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","15802","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","16293","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","16811","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Principal accommodation","Dollars","81","units","0","v54325514","1.1.7","18371","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3088","","","","0"
